Mean,Median,Mode,StandardDeviation,Skewness,Kurtosis,Disorder
41.26281357,9,0,49.03368211,1.153535037,0.803456544,1
42.9847641,26,6,43.62843668,1.044681217,0.721944312,1
53.81742859,58,0,45.67615791,0.679193219,0.073624152,1
52.90805054,52,0,40.90211729,0.726919799,0.31537155,1
55.84090042,60,0,42.46754641,0.534297151,-0.059096436,1
53.55643845,50,0,49.8861709,0.687938678,-0.407845655,1
53.79092407,51,0,49.67496306,0.685370948,-0.388348399,1
47.15018845,46,0,43.06427583,0.678985301,-0.357774005,1
54.18822861,54,0,48.46801652,0.643207358,-0.362950872,1
47.64472961,45,5,44.26768963,0.658404516,-0.27764371,1
50.06687546,51,0,45.16259614,0.641857766,-0.23134547,1
55.05757141,59,0,48.28421938,0.585050982,-0.283221867,1
40.53931427,31,6,40.3230303,1.035939039,0.920299028,1
55.57526016,61,0,48.03115935,0.574436735,-0.198861026,1
59.57993317,66,0,50.49009989,0.540357193,-0.24079511,1
56.91935349,64,0,47.39060383,0.533400413,-0.145727971,1
54.85238266,62,0,44.59845261,0.506627496,-0.096464443,1
44.20808029,43,7,36.62288583,0.799104869,0.354267776,1
54.92518234,54,8,40.06816185,0.986447627,1.577818955,1
51.43540573,50,7,38.00967737,1.012309052,1.557206677,1
54.35561371,55,8,38.68767576,0.893387012,1.479976998,1
70.99814606,78,4,52.36639636,0.381956332,-0.271241108,1
68.62737274,74,3,50.57841933,0.402654149,-0.284261627,1
39.98826599,32,6,39.11454589,1.01135629,0.980992777,1
65.80405045,70,3,48.06510093,0.419610381,-0.210174688,1
57.72635269,63,3,42.41622994,0.451705973,-0.079539877,1
58.65768051,64,3,44.14670123,0.48235538,-0.093304423,1
60.57164764,66,3,45.37020673,0.473689291,-0.028333066,1
62.2677233,57,1,48.79601038,0.77774465,0.227471454,1
86.89915625,85,15,52.19003269,0.535961067,-0.037419096,1
74.50132587,65,0,59.60107164,0.865080439,0.336705634,1
70.12013528,75,88,44.10776496,0.778680699,1.871185961,1
59.11315674,59,0,39.65941922,0.91825181,1.070653634,1
65.92245245,68,82,38.67658547,1.346990036,3.744949239,1
46.31289673,49,5,43.32903319,0.871713684,0.336488588,1
48.20881018,36,1,50.61851355,0.784560071,-0.339380782,1
56.789903,19,0,75.24967687,1.421811067,1.065555012,1
79.85866345,78,82,41.19669323,1.101555066,2.650207004,1
102.333716,93,92,60.42659579,0.700383513,-0.114182409,1
49.00842992,38,1,50.69022442,0.76782036,-0.379918311,1
51.15778664,51,10,35.70250983,1.49333782,3.940830692,1
39.17660284,34,0,34.32658979,2.200111367,7.825855571,1
71.51089789,70,0,62.07809265,0.490991429,-0.618718716,1
26.8780899,6,0,36.39208992,1.688583871,3.081604653,1
42.79630379,36,0,38.35900269,1.345129758,2.691291338,1
49.02815247,49,6,46.68821216,0.956935878,0.536352125,1
58.10972595,56,9,44.54109248,1.050098559,1.691969688,1
53.98806,60,3,42.38402588,0.687596101,0.77839792,1
53.05023956,59,3,40.50856532,0.72018661,1.071186241,1
53.6576004,59,3,40.95729422,0.752799327,1.228769636,1
50.84292221,54,3,39.48961923,0.834324493,1.418900063,1
62.00063324,69,2,42.58231039,0.420793628,0.307466585,1
59.0476532,66,2,41.1708273,0.529579141,0.675372976,1
60.31705093,67,2,41.28755152,0.53997343,0.823251784,1
63.73709869,68,3,43.76824324,0.563292569,0.711595957,1
64.73760986,69,2,44.46295277,0.596639692,0.872470818,1
47.42516327,46,6,45.3986053,0.996646272,0.658135449,1
66.25418854,72,3,46.08550966,0.603853952,0.861343121,1
65.74549484,74,3,45.96059294,0.558931819,0.74603735,1
51.8813591,56,6,34.50408896,0.866240043,2.260461649,1
49.91311646,54,6,33.84352914,0.983079387,2.696197499,1
50.83233261,52,7,35.43426216,1.05180038,2.63452053,1
52.13603973,54,7,36.29487434,1.008394344,2.376899897,1
49.23084641,52,6,34.04828801,1.05070821,2.765907821,1
49.57562256,54,6,33.62736491,1.005486314,2.824629508,1
50.7651825,55,6,34.09807833,0.934944001,2.534278172,1
51.10276794,53,7,40.96335692,0.992301675,1.611150312,1
46.64069748,45,0,44.83377922,1.029753494,0.770344377,1
49.24430847,49,7,40.4616063,1.08034213,1.716234011,1
47.44582748,47,7,38.28246454,1.031228957,1.383917704,1
50.95848083,54,7,39.36506174,0.94054557,1.597805598,1
50.72092438,54,6,38.93182691,0.973904151,1.758119882,1
49.13287735,53,6,37.98976431,0.989161824,1.793303265,1
50.33451843,55,6,38.33999406,0.912796942,1.581875741,1
45.0500679,47,3,33.43398772,1.155655166,3.365239859,1
47.1546936,49,3,34.59568548,1.135675805,3.398310127,1
46.05394363,47,3,34.54520629,1.244153888,3.593389429,1
49.91136932,52,3,35.96953103,1.08614684,3.057301628,1
38.99555969,28,5,39.28731288,0.976972326,0.577606563,1
43.11153793,44,3,31.63432963,1.114108194,2.855815475,1
51.46645737,55,3,36.32033367,0.898738366,2.26181138,1
53.53723145,56,3,45.61737016,0.758172006,0.570946918,1
47.64481735,49,3,41.00886116,0.839805336,0.814513709,1
49.70438004,52,3,42.05833099,0.845556622,0.924828123,1
53.12239838,55,3,44.48128033,0.807347736,0.829499753,1
55.16137314,58,3,46.26073271,0.738159414,0.549552239,1
48.68379593,48,3,43.52851961,0.989858904,1.148619206,1
45.37934875,42,3,42.96352516,1.122958668,1.382058726,1
61.30335617,69,89,37.7956615,0.247058371,-0.161007911,1
